Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
DzKnECuKbTtJM4zRTuTcfEEd9TBCocqW4Ekj5JxvrFVp,1224416.03,,,
4YEyzhwDTmPAzZmrexE5cUQi7wN5i6mdWFC5fAonxTNh,1220744.98,,,
43J23D77aoAixwMkd2eckgyT5TbRGLKvPSR2Akxuibcf,1217651.00,,,
7zVoVzhdtPEfriRV1jSj3tSjEBcQsQbTGd4X2A9puc21,1210000.00,,,
54pRrFUQixwijSmt2cDKYgJxfVjsedhrHnmoEKQYEkRh,1188292.01,,,
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph,1164792.54,,,
F5Des1B3zSUagFf7o5a7JmfbTPnQEkyvskvfUmynxacN,1163191.38,,,
6V2GoJqVbugcPYAAdCvjGzHkshqkNxhZhHqeiSsyTYRD,1159653.59,,,
3ECE7zQWFNmb63643xCLPVaDM9nw1Utz5Xis9ELaCf4U,1153866.82,,,
AVr8LrXzt3iFD9vKYkr6N2a7nopuKtdkdqwN3XrPmT3E,1153296.20,,,
F6y56LVEjYDPnZs4gHPL4ZH9hUStd9rBPiciLW6itefc,1144980.77,,,
ikJ2hGbkX648nRLMs2zKbv21gaeLDRKNPPGg9JHUnDc,1141705.34,,,
8L8qZp9KGSCYNYChYCNJ8NNkB296r2U7N9d9JcLmYRuG,1141521.02,,,
H94ogYeZ5txTpR2rNZHhZCcreWvZDFMr9DPS9WQd5qRD,1138462.53,,,
9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,1136476.40,,,
82435a4uEEXc8foe8pGHAfPk49stsCPUs1zQXGRNGZYQ,1129956.39,,,
9MvbS8xRVxeaa47CKtRDZmUmT6w6BLbn8Fd1qxRdWMUk,1120914.36,,,
Ca7GEhzggtShWH7i7e3Lm6Z9bkRH5z41rQUCwKTPfKcK,1111111.11,,,
2huhjvT7GtDSQigcYPoQxnHrXJnA3Gf8hD2wQVrB8Xbh,1102364.13,,,
6N3HNQXq6hj5VyzHRAAsFGT6NBcsVEZPimMqnusZuRr2,1094289.43,,,
4QXXp184iMKjL1ZTLrGtjMFvR2n2YhpUS1WypmzGaYB3,1089428.78,,,
